T(K),V(uV),I(uA)
5.999637,-11022.478209,-5.1
6.000051,-10803.450109000001,-5.0
6.000776999999999,-10582.906727,-4.9
6.0011209999999995,-10362.713091,-4.8
6.000831,-10144.228273,-4.7
6.000605999999999,-9924.658615,-4.6
6.000319,-9707.030956999999,-4.5
5.9999519999999995,-9487.812340999999,-4.4
5.999817,-9270.979434,-4.3
5.999564,-9053.233603,-4.2
5.999394000000001,-8837.456333,-4.1
6.000209,-8620.660353,-4.0
6.000681,-8406.008711,-3.9
6.000605,-8189.795515000001,-3.8
6.000936,-7975.467475,-3.7
6.001212000000001,-7760.077205,-3.6
6.000453,-7546.53331,-3.5
5.999934,-7331.648676999999,-3.4
5.999475,-7118.742064,-3.3
5.999263,-6904.673142000001,-3.2
5.9993,-6692.770042,-3.1
5.999708999999999,-6479.762025999999,-3.0
5.9998569999999996,-6268.8918539999995,-2.9
5.999934,-6057.443914,-2.8
5.99995,-5848.542195,-2.7
5.9999150000000006,-5639.026709000001,-2.6
5.999682,-5432.031379,-2.5
5.999593,-5224.63399,-2.4
5.999694,-5019.667990999999,-2.3
5.999435,-4814.099443,-2.2
5.9992410000000005,-4610.9806659999995,-2.1
5.999607,-4408.351461,-2.0
5.9999839999999995,-4307.1973100000005,-1.95
6.000269,-4206.497426,-1.9
6.0009760000000005,-4105.86735,-1.85
6.001279,-4005.610155,-1.8
6.001,-3905.5181850000004,-1.75
6.0004290000000005,-3805.59061,-1.7
5.999949,-3706.052433,-1.65
5.999555,-3606.643967,-1.6
5.999579,-3507.5242670000002,-1.55
5.999665,-3408.6724700000004,-1.5
5.99974,-3310.098516,-1.45
5.9996529999999995,-3211.552534,-1.4
5.999619,-3113.379644,-1.35
5.99981,-3015.462955,-1.3
5.999384,-2917.922148,-1.25
5.9996849999999995,-2820.465921,-1.2
5.999798999999999,-2723.303947,-1.15
6.000255999999999,-2625.997531,-1.1
6.000106,-2529.3659620000003,-1.05
6.000417,-2431.992222,-1.0
6.000121,-2383.609923,-0.975
6.000175,-2334.866925,-0.95
5.999813,-2286.281155,-0.925
5.999751,-2237.4401559999997,-0.9
5.999489,-2188.5619699999997,-0.875
5.998964,-2139.583352,-0.85
5.999208,-2090.327576,-0.825
