T(K),V(uV),I(uA)
3.498306,-17556.8007,-8.1
3.498907,-17343.587655000003,-8.0
3.497929,-17128.840272999998,-7.9
3.49888,-16915.372609000002,-7.8
3.4989470000000003,-16699.850991,-7.7
3.497721,-16485.811718,-7.6
3.4969069999999998,-16269.766281999999,-7.5
3.496314,-16054.510955000002,-7.4
3.495826,-15837.7002,-7.3
3.4955879999999997,-15622.328118000001,-7.2
3.497381,-15404.664409,-7.1
3.497555,-15188.282244999999,-7.0
3.498121,-14969.639491,-6.9
3.497667,-14752.345890999999,-6.8
3.4987790000000003,-14532.7563,-6.7
3.499192,-14313.020964,-6.6
3.499651,-14094.063472999998,-6.5
3.498668,-13874.782544999998,-6.4
3.499248,-13653.713036000001,-6.3
3.4987779999999997,-13433.840745,-6.2
3.496545,-13211.962109,-6.1
3.49686,-12991.381626999999,-6.0
3.498386,-12769.044436,-5.9
3.49885,-12548.087409,-5.8
3.498896,-12325.217173000001,-5.7
3.498775,-12103.622890999999,-5.6
3.4991209999999997,-11880.738536,-5.5
3.4999300000000004,-11658.532427,-5.4
3.498753,-11434.510091,-5.3
3.497672,-11211.820036,-5.2
3.499083,-10987.584526999999,-5.1
3.499386,-10765.356873,-5.0
3.4980879999999996,-10541.838891,-4.9
3.4972160000000003,-10319.1254,-4.8
3.496495,-10098.804427,-4.7
3.4969010000000003,-9877.849393999999,-4.6
3.496997,-9659.352539,-4.5
3.497032,-9439.844222,-4.4
3.4978,-9223.051499,-4.3
3.499561,-9005.647331999999,-4.2
3.49884,-8790.277737999999,-4.1
3.498707,-8573.897099,-4.0
3.4991230000000004,-8359.360604000001,-3.9
3.499974,-8143.181651999999,-3.8
3.499998,-7928.5743569999995,-3.7
3.499561,-7712.964722,-3.6
3.499056,-7499.233581,-3.5
3.498303,-7284.3682739999995,-3.4
3.496325,-7071.873162999999,-3.3
3.4946309999999996,-6858.5143290000005,-3.2
3.495512,-6648.029216,-3.1
3.495456,-6437.046783,-3.0
3.4959269999999996,-6229.0495789999995,-2.9
3.4975099999999997,-6021.144258,-2.8
3.4997239999999996,-5816.5357109999995,-2.7
3.500322,-5611.957189,-2.6
3.500518,-5410.560515,-2.5
3.5011080000000003,-5209.144704,-2.4
3.500601,-5010.453815999999,-2.3
3.499397,-4811.321655,-2.2
3.4986,-4614.683299,-2.1
3.4977739999999997,-4418.715285,-2.0
